Question,Answer
Hello,Hello
How are you?,Iâ€™m fine thanks.
Good morning,"Hello, good morning."
Bye,"Bye, glad to have helped."
Where can I apply for tax clearance certificate,kindly visit our e-service on url https://efiling.zimra.co.zw/Account/Login.aspx
what is your contact number,You can contact 0712693452 for help
How much do duty to I pay for motor vehicle import,"it depends on the type of the car ,model,year etc so you have to contact our call centre on 0776036818 for more details"
How do I calculate my PAYE for my salary,"if you want to know PAYE ,refer to our tax tables on  https://www.zimra.co.zw/domestic-taxes/tax-tables"
if am diabled how can I be excempted from duty of my motor vehicle,"you have to apply for excemption with support documents like medical reports,driver license"
thank you for your time,Thanks is there anything else I can help you
your staff is doing  corruption he cheated me my money and paid him some bribe to get help,Kindly  report any corruption on toll free 0808080 or whistle blower facility at any zimra station
good afternoon,good afternoon how are you
I need help,how can we help you
I need your assistance,what kind of assistance do you want
where do I can fiscalisation device,Kindly contact Axis Solution on 2624445 or Call zimra 0411123
I failing to upload my tax clearance,kindly check if you are connected to the internet
my e-services password have been blocked,kindly use the 'forgot password' on the login page
how much duty do I pay for my motor vehicle,kindly see the duty calculator based on vehicle capacity on our website
I am dissapointed by your service,very sorry for any inconivience how do you think we can help
"am frustrated ,am not happy with your poor service",very sorry for any inconivience how do you think we can help
thank you for your time,Thanks is there anything else I can help you
have a good day,"Bye, glad to have helped."
How is ZIMRA involved in business operations?,"ZIMRA is an agent of the Zimbabwean Government whose main responsibility is revenue collection. This is done  through the administration of the following Acts:

Income Tax Act [ Chapter 23:06]

Value Added Tax (VAT) Act [Chapter 23:12]

Capital Gains Tax (CGT) [Act Chapter 23:01]

Customs and Excise Act [Chapter 23:02]

In addition to revenue collection ZIMRA also has the following mandates:

Facilitate trade and travel. This is achieved by ensuring smooth movement of goods and people through inland and border ports of entry/exit.

3.  Advise Government on fiscal and economic matters. This includes revenue forecasting, participation in national budget process and revision of Acts.

4.  Protect civil society. ZIMRA’s operations also include curbing smuggling and any forms of international trade crime as well as to enforce import, export and exchange controls. Most of these controls are meant to protect the consumer against dangerous and harmful drugs, hazardous substances, expired drugs, pornographic, objectionable or undesirable materials, and harmful substances.
ZIMRA is an agent of the Zimbabwean Government whose main responsibility is revenue collection. This is done  through the administration of the following Acts:

Income Tax Act [ Chapter 23:06]

Value Added Tax (VAT) Act [Chapter 23:12]

Capital Gains Tax (CGT) [Act Chapter 23:01]

Customs and Excise Act [Chapter 23:02]

In addition to revenue collection ZIMRA also has the following mandates:

Facilitate trade and travel. This is achieved by ensuring smooth movement of goods and people through inland and border ports of entry/exit.

3.  Advise Government on fiscal and economic matters. This includes revenue forecasting, participation in national budget process and revision of Acts.

4.  Protect civil society. ZIMRA’s operations also include curbing smuggling and any forms of international trade crime as well as to enforce import, export and exchange controls. Most of these controls are meant to protect the consumer against dangerous and harmful drugs, hazardous substances, expired drugs, pornographic, objectionable or undesirable materials, and harmful substances.
"
"
What is the difference between registration with a local authority and registration with ZIMRA?
",ZIMRA’s main mandate is collection of taxes in line with Revenue Authority Act and other subsidiary legislation. Local Authorities have their legislation that govern their operations and this includes the registration of shop licences.
How much is charged by ZIMRA to register for tax and get a tax clearance?,You don’t pay to register for tax and neither do you pay to get a tax clearance. All those services are provided free of charge. 
"
As a new trader what are my obligations to ZIMRA
","You have to register with ZIMRA within30 days after starting the business.  Registration can be done online or manually upon application.  The following documents should be submitted for a newly formed company together with a completed REV 1 form or attached when registering online, in order to be registered:

1.       Certificate of Incorporation;

2.       CR14: contains details of directors

3.       CR6: contains registered address of company

4.       Stamped current Bank Statement;

5.       Memorandum of Association (1st 3 pages plus the last page)

6.       Articles of Association (1st 3 pages plus the last page)

7.       Documents for at least 2 Directors

a)       Identity card;

b)      Proof of residence in form of utility bills, support with affidavit if bill is not in your name.

 

8.       Documents for the Public officer

a)       Letter of appointment as public officer, stating the name, ID Number, Residential address and a statement to the effect that the public officer is a signatory to the company’s bank account;

b)      Identity card

c)       Stamped current bank statement;

d)      Proof of residence in form of utility bills, support with affidavit if not in your name.

For Individuals:

1.      Stamped current bank statement;

2.      Copy of ID;

3.      Copy of proof of residence in the form of utility bills, supported with affidavit if not in the trader’s name.

After registration is confirmed the company is allocated a Business Partner Number (BPN) and advised of the tax heads registered for.

Every registered client is required to submit a tax return after the end of each tax year by 30 April of the following year. The tax year runs from 1 January to 31 December of each year.

Some business operators are required to pay Presumptive Taxes and this includes operators of omnibuses, taxi-cabs, driving schools, goods vehicles, hairdressing salons, informal traders, operators of restaurants or bottle stores, small scale miners, cottage industry operators, operators of commercial waterborne vessels used for the carriage of passengers for profit and fishing rigs.

Any person who trades in taxable supplies and whose annual taxable turnover exceeds or is likely to exceed US$1,000,000.00 must apply to register for VAT on Form REV 1. The submission of VAT returns and payment of the tax due is the 25th of the month following the end of the tax period.

Every business person who becomes an employer is required to apply to the Commissioner General for registration within 14 days of becoming an employer

Remittance of Pay As You Earn (PAYE) to ZIMRA is to be done within 10 days after the end of the month during which the amount was withheld.

You are required to keep reasonable and proper records and books of accounts for all and all other documents required to be accounted for in terms of the various Acts administered by ZIMRA. Retain all records for at least six (6) years.
"
What type of taxes are payable to ZIMRA,"The following are some of the types of tax that are payable  to ZIMRA

Income tax – tax levied on business income for individuals or companies or any other entities and it varies with their respective income or profits (taxable income).
PAYE (Employee tax)- a withholding tax charged on salaries ( income) payable to employees.  
Value Added Tax- is an indirect tax on consumption, charged on the supply of taxable goods and services. It is levied on transactions rather than directly on income or profit, and is also levied on the importation of goods and services.
Presumptive tax (informal trader’s tax) – fixed rate of tax chargeable to selected sectors within the economy such as hair salons, bottle store owners etc.
Capital Gains Tax- paid when a person/ company sells an immovable property or marketable securities.
Withholding taxes- paid by the payer and may or may not be a final tax.

"
"
Is a tax clearance certificate the same as registration
","A tax clearance certificate is issued to a tax payer that is tax compliant or up to date with their tax obligations.

Registration with ZIMRA can be done online and below are the steps to follow for online  registration:

Step 1:

Type the address http://efiling.zimra.co.zw  on your internet browser
  Click Register and complete the details of the company on the form provided
  Ensure that you provide the attachments as required therein
  Click on “Submit” and a message will be immediately sent to your e-mail address§  Open the message in your e-mail and click on the URL in order to complete the registration process.
Step 2

  Type the address http://efiling.zimra.co.zw on the internet browser
  Click Login and enter your login details. Select the heading “I do not have a Business Partner Number” and Complete all the required information and submit the application
How do I get a Tax Clearance Certificate?
After registration logon to the ZIMRA website and  apply for a tax clearance by following the procedure below:

Click on “MANAGE SERVICES” and select “SUBMISSIONS”
Select “General Tax Clearance” and Click on “Submit”
Go to “My History”, select “My Submissions” and check status
If status says “Committed”, click on “View Document” and print the tax clearance.
If the status says “Failed” then contact ZIMRA office for assistance.
Why do banks need company tax clearances on opening of a bank account?
It is an obligation for every income generating business to be registered with ZIMRA and have a tax clearance as an indication that their tax affairs are up to date. Banks are obliged to ask their clients for any documents they need including the Tax Clearance certificate.

"
,
"
What do I do when someone withholds 10% withholding tax but does not issue me with a Certificate?
",Advise the person that they are supposed to issue you with a withholding tax certificate to enable you to have proof of the withholding tax. If the person is not sure ask them to consult ZIMRA for clarification.
When is the Withholding Tax on tenders and Director’ fees due?,On or before the 10th of the month following that in which the payment was made
What happens when one stops trading?,"There is need to notify ZIMRA so that de - registration procedures are duly completed This includes payment of all taxes due and submission of all tax returns. ZIMRA may also undertake a deregistration audit. If the business was fiscalised, ZIMRA will need to deregister the fiscal machines

The company is only deregistered from the ZIMRA system after confirmation from the Registrar of companies that the company has been struck off the Companies register.

"
"
How long does it take for ZIMRA to give a refund if one is entitled to one?
",Where no issues have been noted after risk profiling in respect of the refund ZIMRA is supposed to make a VAT refund within 30 days from date of submission of the return.
When a return fails to commit should I continue trying on portal or perhaps make a manual return?,"return?
You would need to print the error message and visit our E-services desk and get assistance.

If error message is not available simply, submit the tax returns at the nearest ZIMRA office.
"
"
Is there an exemption for elderly people?
","The current tax legislation provides for a number of tax concessions, which are meant to provide tax relief to elderly persons. These tax concessions, which are mostly in the form of tax exemptions and credits.

For the purposes of these concessions, an elderly person is a person aged 55 years or more. These include:

Income Tax

  Exemption from Income Tax of the first $30,000.00 per annum on rental income.
  Exemption from Income Tax of the first $30,000.00 per annum on income earned from bankers acceptances. 
  Exemption from Income Tax of the first $30,000.00 per annum on income earned from interest on deposits to financial institutions.
  Entitled to an elderly persons’ credit of $9,000.00 per annum.
  Pension received from a pension fund or the Consolidated Revenue Fund is exempt from Income Tax. 
  Where an employer disposes of a motor vehicle to an employee whether on termination of employment or otherwise, the benefit is exempt from tax.
Capital Gains Tax

  The full amount arising from the disposal of a Principal Private Residence (PPR) by persons who are 55 years or above on the date of the sale is exempt from Capital Gains Tax. 
  The first $18,000.00 that accrues on the sale of any unlisted marketable security is exempt
When you pay duty at the Border do you still need to register and pay other taxes for the same business that you are doing?
Yes every trade in business is still required to register and pay the relevant taxes like Income Tax, VAT, PAYE and withholding taxes.
"
How do you estimate your income for the year?,This forecast should be based on your business trends including the macro – economic and environmental factors and the nature of one’s business. The most recent sales figures sometimes provide a reasonable basis for estimating the income for the year.
How do you calculate amounts paid on Quarterly Payment Dates? (QPD),"For the purpose of calculating the Provisional Tax for each Quarterly Payment Date (QPD), clients are required to estimate the annual tax due and calculate the respective percentage of tax to be paid for each quarter.  Currently the percentages are:

10%          due 25th  March

25%          due 25th  June

30%          due    25th   September

35%          due   20th  December

For example the actual amount due at the quarter must be arrived at after deducting the QPDs already paid from the amount due e.g. say at a 25 June of the year the estimated taxable income is = $2 375 000

Estimated tax payable = ($2 375 000 X 25.75%) = $611 562.50

QPDs due as at 25 June = {35% (10% +25%) of $ 611 562.50} = $214 046.88

The remittance form for Provisional Tax payments –is form ITF 12B which must be completed in respect of each QPD payment.
"
"
What is the margin of variance allowable when calculating under self-assessment?
",The margin of variance should not be more than 10% of the tax payable when calculating the Income Tax due for the year.
Are you allowed to adjust QPDs if estimates change during the year?,"Yes, adjustments can be made every quarter. Any underpayment of QPDs must be corrected as soon as it is realised during the course of the year in order avoid accumulating interest."
Can ZIMRA collect a debt from a client’s debtors or account,A garnish is used as a last resort in cases where the taxpayer has been uncooperative. A garnish may be placed on the client’s bank accounts as well as with the client’s debtors.
How does one register for VAT?,"The VAT category is provided in the registration confirmation letter. If this letter is not received within……days of registration please approach the ZIMRA office where the application was submitted. The current VAT categories are as follows:

Category A & B  returns  and tax due are submitted/paid  bi-monthly

Category C  returns and tax due are submitted /paid monthly

Category D tax period for special business allocated by the Commissioner.
"
What are my obligations under VAT?,"complete and submit VAT  returns as per requirement

  calculate and remit the correct VAT due to the Commissioner General of ZIMRA on or before the due date

  issue tax/fiscal  invoices, debit notes or credit notes

  Account for VAT if one sells or retains stock or assets.

  Advise the Commissioner General of any changes in business details or when one ceases trade.

  keep accounting records for at least six years after the tax period to which they relate

   Acquire fiscal devices and fiscalise operations.

"
"
How do I know my VAT Category?
","The VAT category is proThe VAT category is provided in the registration confirmation letter. If this letter is not received within……days of registration please approach the ZIMRA office where the application was submitted. The current VAT categories are as follows:

Category A & B  returns  and tax due are submitted/paid  bi-monthly

Category C  returns and tax due are submitted /paid monthly

Category D tax period for special business allocated by the Commissioner.
vided in tThe VAT category is provided in the registration confirmation letter. If this letter is not received within……days of registration please approach the ZIMRA office where the application was submitted. The current VAT categories are as follows:

Category A & B  returns  and tax due are submitted/paid  bi-monthly

Category C  returns and tax due are submitted /paid monthly

Category D tax period for special business allocated by the Commissioner.
he registration confirmation letter. If this letter is not received within……days of registration please approach the ZIMRA office where the application was submitted. The current VAT categories are as follows:

Category A & B  returns  and tax due are submitted/paid  bi-monthly

Category C  returns and tax due are submitted /paid monthly

Category D tax period for special business allocated by the Commissioner.

What do I do when I am charged VAT by someone who is not registered for VAT
A non-registered trader is not supposed to charge VAT, if they do so you can report to ZIMRA through hotline numbers or visit to any nearest office.
"
"
What do I do when I am charged VAT by someone who is not registered for VAT
","A non-registered trader is not supposed to charge VAT, if they do so you can report to ZIMRA through hotline numbers or visit to any nearest office."
What are the Capital Gains Tax rates? What is the percentage charged by ZIMRA as Capital Gains Tax upon disposal of an asset?,"
The percentage charged as Capital Gains Tax for selling your asset depends on when you bought or built the house or acquired the asset which you intend to sell.

1.       If you acquired an asset before 22nd  February 2019, Capital Gains Tax is charged at:

(i)      Five cents  for each dollar of the capital gain determined in accordance with the capital Gains Act (Chapter 23:01)

(ii)    Five United States  cents for each United States dollar of capital gain determined in accordance with the Capital Gains Tax Act (Chapter 23:01) 

2.       If you acquired an asset after 22 February 2019, Capital Gains Tax shall be

(ii)    Twenty cents for each dollar of the capital gain determined in accordance with the Capital Gains Tax Act.

(iii)  Twenty cents for each United States dollar of capital gain determined in accordance with the Capital Gains Tax Act.

NB: capital gain is selling price less costs known as allowable deductions.

Examples of allowable deductions are:

  cost of acquisition or construction of the house
  cost of improvements, additions and alterations to the house
  selling expenses of the house
  an inflation allowance of 2.5% per annum on costs which will be proportioned to the period applicable.
The costs should have relevant paperwork to prove that they were incurred by the seller.


"
What are the Capital Gains Tax requirements?,"The following are the  general requirements:

  An original agreement of sale document and certified copy for office file.

  Original identification particulars and a certified copy of same for office file, for both seller and buyer.

  Original Deed of Transfer (title deeds), Cession Agreement and current confirmation letter from Local Authority for verification and certified copies for the file.

  Original Proof of payment and its copy in the form of bank transfer/written confirmation signed by both parties and or receipt.

  A General Power of Attorney if the seller or buyer is unable to attend the interview for any reason acceptable to the Commissioner.

  Letter of Undertaking by depository (Banks, Lawyers and Estate Agents) where the seller is not able to pay the tax until the property is registered by the buyer.  The letter must state that payment will be made within 30 days from date of issue of assessment.

  Proof relating to cost of improvements incurred after 1st February 2009.

  Valuation Report from Registered Property Valuers’ (Act) the sale of commercial property. 

  Buyer and sellers proofs of residence.

  Letter from local authority confirming area of stand and date of purchase/cession.

Is a property without title deeds subject to tax
Capital Gains Tax (CGT) is levied on the capital gain arising from the disposal of a specified asset. Whether with title deeds or without
"
"
Is CGT paid on a house one gets from deceased parent(s)?
",Amounts received or accrued on the realization or distribution of a deceased estate of a specified asset forming part of such estate are exempt.
Why do I have to pay CGT on donated property?,A Donation is a deemed sale and therefore CGT is payable on the amount which in the Commissioner’s opinion is equal to the fair market price of such an asset.
